hostTime;deviceTime;rA;cA;rB;cB;tpb_x;tpb_y
25.883363;0.043301;200;200;200;200;4;4
25.879233;0.203886;200;200;200;200;2;4
207.096420;0.243520;400;400;400;400;2;4
207.092657;0.148251;400;400;400;400;4;4
721.049065;0.384743;600;600;600;600;4;4
715.766065;0.690525;600;600;600;600;2;4
1713.183562;2.175972;800;800;800;800;2;4
1737.596728;1.103910;800;800;800;800;4;4
3376.174130;3.018987;1000;1000;1000;1000;2;4
3384.906315;1.558249;1000;1000;1000;1000;4;4
5758.275581;2.653214;1200;1200;1200;1200;4;4
5818.837191;5.443864;1200;1200;1200;1200;2;4
9140.483780;4.232722;1400;1400;1400;1400;4;4
9230.915184;8.339611;1400;1400;1400;1400;2;4
13584.337971;8.568955;1600;1600;1600;1600;4;4
13579.838757;16.999615;1600;1600;1600;1600;2;4
19401.064202;10.058733;1800;1800;1800;1800;4;4
19794.809302;19.817552;1800;1800;1800;1800;2;4
26323.005306;12.934981;2000;2000;2000;2000;4;4
26565.678572;25.575823;2000;2000;2000;2000;2;4
25.875477;0.042983;200;200;200;200;6;4
206.974586;0.115279;400;400;400;400;6;4
716.378959;0.266426;600;600;600;600;6;4
1702.898123;0.760384;800;800;800;800;6;4
35496.870276;18.864691;2200;2200;2200;2200;4;4
35681.588020;36.596305;2200;2200;2200;2200;2;4
3384.160418;1.074613;1000;1000;1000;1000;6;4
5734.721461;1.794049;1200;1200;1200;1200;6;4
9238.894710;2.854484;1400;1400;1400;1400;6;4
13534.263298;5.772385;1600;1600;1600;1600;6;4
45945.461759;33.648149;2400;2400;2400;2400;4;4
46067.254925;66.372997;2400;2400;2400;2400;2;4
19269.361987;6.872094;1800;1800;1800;1800;6;4
26323.348989;8.758068;2000;2000;2000;2000;6;4
60043.139235;44.340603;2600;2600;2600;2600;4;4
60674.967732;88.152322;2600;2600;2600;2600;2;4
35650.678035;12.755296;2200;2200;2200;2200;6;4
45842.606576;22.298523;2400;2400;2400;2400;6;4
76399.306628;58.106051;2800;2800;2800;2800;4;4
76502.814926;111.728495;2800;2800;2800;2800;2;4
60384.935701;28.521328;2600;2600;2600;2600;6;4
97714.209889;72.944822;3000;3000;3000;3000;4;4
98232.875530;137.607888;3000;3000;3000;3000;2;4
76571.487180;38.100271;2800;2800;2800;2800;6;4
